# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,-0.00047915655945660854,0,3.0,-0.0014410539645949246,0.0,0.0,0.0
 0.08926401218298728,1.0119520958060888,2.999999900046301,-0.00047915655945660854,0.26779203654896183,3.0,-0.0014410539645949246,0.0,-0.026765688431355614,0.0
 0.12598685432506912,1.023809031189811,2.9999995974820566,-0.0014620687105454267,0.3779605629752073,2.9999999999999987,-0.0015049939032399018,0.0,-0.036359315810483094,0.0
 0.15399519064925715,1.0355717780993505,2.999999088252549,-0.0024804326562828044,0.46198557194777146,3.0000000000000018,-0.0015707462554242079,0.0,-0.044924595472016056,0.0
 0.17746606909566487,1.0472413084828913,2.999998368303059,-0.003534852375860532,0.5323982072869946,3.0,-0.0016383247999450466,0.0,-0.05308070156679922,0.0
 0.19802120149765218,1.0588185942886172,2.9999974335788675,-0.004625933224556465,0.5940636044929565,2.9999999999999973,-0.001707765450974024,0.0,-0.06108095103034161,0.0
 0.21649419945713985,1.070304607464712,2.999996280025255,-0.005754281508303532,0.6494825983714195,3.0000000000000013,-0.0017790982509863936,0.0,-0.06905952961483693,0.0
 0.2333814048228874,1.08170031995936,2.9999949035875035,-0.006920503967371209,0.7001442144686622,2.999999999999997,-0.0018523427038101548,0.0,-0.0770982433033871,0.0
 0.2490069665032555,1.0930067037207447,2.999993300210893,-0.008125207323556309,0.7470208995097665,3.0000000000000053,-0.0019275337759592282,0.0,-0.08525180147510197,0.0
 0.26359657455666785,1.10422473069705,2.9999914658407056,-0.009368997692925369,0.7907897236700036,3.0,-0.0020046858838585853,0.0,-0.09355934771488927,0.0
 0.27731495152479296,1.11535537283646,2.9999893964222215,-0.010652480093770114,0.831944854574379,3.000000000000004,-0.0020838237247972954,0.0,-0.10205037386734712,0.0
 0.2902867582245361,1.1263996020871585,2.999987087900722,-0.011976257817213858,0.8708602746736083,2.9999999999999956,-0.002164976612192676,0.0,-0.11074804015182355,0.0
 0.30260908953963134,1.1373583903973294,2.9999845362214885,-0.0133409318604621,0.9078272686188941,3.0000000000000044,-0.00224816857922208,0.0,-0.11967114832810632,0.0
 0.31435936048417695,1.1482327097151566,2.9999817373298017,-0.014747100277562257,0.9430780814525308,2.9999999999999907,-0.0023334139983378684,0.0,-0.12883538352238147,0.0
 0.3256005057231753,1.1590235319888242,2.9999786871709424,-0.0161953575356594,0.9768015171695257,2.9999999999999902,-0.0024207273836151415,0.0,-0.13825412031488493,0.0
 0.3363845336106157,1.1697318291665155,2.999975381690192,-0.017686293824688663,1.009153600831847,2.9999999999999947,-0.002510123275830217,0.0,-0.14793896724458797,0.0
 0.3467550300586682,1.180358573196415,2.999971816832831,-0.019220494359027215,1.0402650901760044,3.0000000000000053,-0.002601634116701699,0.0,-0.15790013869096878,0.0
 0.3567489685400771,1.1909047360267064,2.9999679885441415,-0.02079853863131069,1.070246905620231,2.9999999999999942,-0.00269525130174711,0.0,-0.16814671986548907,0.0
 0.3663980478585737,1.2013712896055737,2.999963892769404,-0.022420999668437826,1.0991941435757209,2.9999999999999942,-0.0027909933830511206,0.0,-0.1786868504184721,0.0
 0.3757297001884436,1.2117592058812006,2.9999595254538987,-0.02408844323246247,1.1271891005653305,3.0,-0.002888873967316328,0.0,-0.18952785789373255,0.0
 0.38476786367151683,1.222069456801771,2.999954882542908,-0.0258014269967027,1.1543035910145503,3.000000000000006,-0.002988893322028402,0.0,-0.2006763581303957,0.0
 0.39353358354710644,1.2323030143154687,2.999949959981712,-0.027560499737727246,1.180600750641319,2.999999999999987,-0.0030910517104947126,0.0,-0.21213831634927688,0.0
 0.4020454861980603,1.242460850370478,2.999944753715592,-0.029366200435029546,1.2061364585941805,2.9999999999999933,-0.003195353436490232,0.0,-0.22391910107339746,0.0
 0.4103201575190089,1.2525439369149827,2.999939259689829,-0.03121905739889418,1.2309604725570262,2.9999999999999867,-0.0033017981926918203,0.0,-0.23602351448929257,0.0
 0.4183724482277009,1.2625532458971662,2.9999334738497043,-0.033119587351649146,1.2551173446831023,3.000000000000007,-0.003410377056796936,0.0,-0.2484558126175857,0.0
 0.4262157226751765,1.2724897492652132,2.9999273921404987,-0.03506829447807943,1.278647168025529,2.999999999999986,-0.0035210809000684037,0.0,-0.26121971956968965,0.0
 0.433862063448415,1.2823544189673068,2.999921010507493,-0.037065669470599076,1.3015861903452444,2.999999999999993,-0.003633904257445524,0.0,-0.2743184297507662,0.0
 0.4413224410155007,1.2921482269516311,2.9999143248959688,-0.039112188530149875,1.3239673230465017,3.000000000000015,-0.0037488250760550753,0.0,-0.28775460976797573,0.0
 0.4486068554577582,1.3018721451663706,2.9999073312512063,-0.041208312365369884,1.345820566373274,3.0,-0.0038658290089958634,0.0,-0.3015303900995906,0.0
 0.4557244557134135,1.3115271455597086,2.9999000255184876,-0.04335448514703058,1.3671733671402402,3.0000000000000155,-0.003984889335782946,0.0,-0.31564736063673154,0.0
 0.46268364055281685,1.321114200079829,2.999892403643093,-0.0455511334737714,1.3880509216584502,3.000000000000008,-0.004105986723949176,0.0,-0.3301065546214287,0.0
 0.4694921445993269,1.3306342806749158,2.9998844615703035,-0.04779866528669089,1.4084764337979805,3.000000000000008,-0.004229089517483261,0.0,-0.3449084349116289,0.0
